方法名称1,方法名称2,方法参数,返回值类型,链接
SemiMonthBegin.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_month_start.html
Series.cat.,remove_categories,"(*args, **kwargs)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.remove_categories.html
SemiMonthBegin.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_anchored.html
Series.cat.,set_categories,"(*args, **kwargs)",Categorical with reordered categories.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.set_categories.html
SemiMonthBegin.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_month_end.html
Series.cat.,remove_unused_categories,"(*args, **kwargs)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.remove_unused_categories.html
SemiMonthBegin.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_on_offset.html
Series.cat.,as_ordered,"(*args, **kwargs)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.as_ordered.html
SemiMonthBegin.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_quarter_start.html
Series.cat.,set_categories,"(*args, **kwargs)",Categorical with reordered categories.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.set_categories.html
SemiMonthBegin.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_month_start.html
Series.cat.,as_unordered,"(*args, **kwargs)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.as_unordered.html
SemiMonthBegin.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_quarter_end.html
Series.cat.,as_ordered,"(*args, **kwargs)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.as_ordered.html
SemiMonthBegin.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_month_end.html
Series.sparse.,npoints,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.npoints.html
SemiMonthBegin.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_year_start.html
Series.cat.,as_unordered,"(*args, **kwargs)",Categorical,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.cat.as_unordered.html
SemiMonthBegin.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_quarter_start.html
Series.sparse.,density,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.density.html
SemiMonthBegin.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_year_end.html
Series.sparse.,fill_value,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.fill_value.html
SemiMonthBegin.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_quarter_end.html
pandas.tseries.offsets.,Week,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.html
Series.sparse.,npoints,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.npoints.html
Series.sparse.,sp_values,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.sp_values.html
SemiMonthBegin.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_year_start.html
Series.sparse.,density,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.density.html
Week.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.freqstr.html
Series.sparse.,from_coo,"(A, dense_index=False)",sSeries,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.from_coo.html
SemiMonthBegin.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.SemiMonthBegin.is_year_end.html
Series.sparse.,fill_value,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.fill_value.html
Week.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.kwds.html
Series.sparse.,to_coo,"(row_levels=(0,), column_levels=(1,), sort_labels=False)",yscipy.sparse.coo_matrix,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.to_coo.html
Series.sparse.,sp_values,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.sp_values.html
pandas.tseries.offsets.,Week,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.html
Week.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.name.html
pandas.,Flags,"(obj, *, allows_duplicate_labels)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Flags.html
Series.sparse.,from_coo,"(A, dense_index=False)",sSeries,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.from_coo.html
Week.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.freqstr.html
Week.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.nanos.html
Series.,attrs,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.attrs.html
Series.sparse.,to_coo,"(row_levels=(0,), column_levels=(1,), sort_labels=False)",yscipy.sparse.coo_matrix,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sparse.to_coo.html
Week.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.kwds.html
Week.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.normalize.html
Series.,plot,"(*args, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.html
pandas.,Flags,"(obj, *, allows_duplicate_labels)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Flags.html
Week.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.name.html
Series.plot.,area,"(x=None, y=None, stacked=True, **kwargs)",matplotlib.axes.Axes or numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.area.html
Week.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.rule_code.html
Series.,attrs,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.attrs.html
Week.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.nanos.html
Series.plot.,bar,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.bar.html
Series.,plot,"(*args, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.html
Week.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.n.html
Week.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.normalize.html
Series.plot.,area,"(x=None, y=None, stacked=True, **kwargs)",matplotlib.axes.Axes or numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.area.html
Series.plot.,barh,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.barh.html
Week.,weekday,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.weekday.html
Week.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.rule_code.html
Series.plot.,bar,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.bar.html
Series.plot.,box,"(by=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.box.html
Week.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.copy.html
Week.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.n.html
Series.plot.,barh,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.barh.html
Series.plot.,density,"(bw_method=None, ind=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.density.html
Week.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_anchored.html
Week.,weekday,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.weekday.html
Series.plot.,box,"(by=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.box.html
Series.plot.,hist,"(by=None, bins=10, **kwargs)",class:matplotlib.AxesSubplot,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.hist.html
Week.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_on_offset.html
Week.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.copy.html
Series.plot.,density,"(bw_method=None, ind=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.density.html
Series.plot.,kde,"(bw_method=None, ind=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.kde.html
Week.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_month_start.html
Week.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_anchored.html
Series.plot.,hist,"(by=None, bins=10, **kwargs)",class:matplotlib.AxesSubplot,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.hist.html
Series.plot.,line,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.line.html
Week.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_month_end.html
Series.plot.,kde,"(bw_method=None, ind=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.kde.html
Series.plot.,pie,(**kwargs),matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.pie.html
Week.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_on_offset.html
Week.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_quarter_start.html
Series.plot.,line,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.line.html
Series.,hist,"(by=None, ax=None, grid=True, xlabelsize=None, xrot=None, ylabelsize=None, yrot=None, figsize=None, bins=10, backend=None, legend=False, **kwargs)",matplotlib.AxesSubplot,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.hist.html
Week.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_month_start.html
Week.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_quarter_end.html
Series.plot.,pie,(**kwargs),matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.plot.pie.html
Series.,to_pickle,"(path, compression='infer', protocol=5, storage_options=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_pickle.html
Week.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_month_end.html
Week.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_year_start.html
Series.,hist,"(by=None, ax=None, grid=True, xlabelsize=None, xrot=None, ylabelsize=None, yrot=None, figsize=None, bins=10, backend=None, legend=False, **kwargs)",matplotlib.AxesSubplot,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.hist.html
Series.,to_csv,"(path_or_buf=None, sep=',', na_rep='', float_format=None, columns=None, header=True, index=True, index_label=None, mode='w', encoding=None, compression='infer', quoting=None, quotechar='""', lineterminator=None, chunksize=None, date_format=None, doublequote=True, escapechar=None, decimal='.', errors='strict', storage_options=None)",None or str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_csv.html
Week.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_year_end.html
Week.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_quarter_start.html
Series.,to_pickle,"(path, compression='infer', protocol=5, storage_options=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_pickle.html
Series.,to_dict,(into=<class 'dict'>),collections.abc.Mapping,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_dict.html
pandas.tseries.offsets.,WeekOfMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.html
Week.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_quarter_end.html
Series.,to_excel,"(excel_writer, sheet_name='Sheet1', na_rep='', float_format=None, columns=None, header=True, index=True, index_label=None, startrow=0, startcol=0, engine=None, merge_cells=True, inf_rep='inf', freeze_panes=None, storage_options=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_excel.html
Series.,to_csv,"(path_or_buf=None, sep=',', na_rep='', float_format=None, columns=None, header=True, index=True, index_label=None, mode='w', encoding=None, compression='infer', quoting=None, quotechar='""', lineterminator=None, chunksize=None, date_format=None, doublequote=True, escapechar=None, decimal='.', errors='strict', storage_options=None)",None or str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_csv.html
WeekOfMonth.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.freqstr.html
Series.,to_frame,(name=_NoDefault.no_default),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_frame.html
Week.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_year_start.html
Series.,to_dict,(into=<class 'dict'>),collections.abc.Mapping,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_dict.html
WeekOfMonth.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.kwds.html
Series.,to_xarray,(),xarray.DataArray or xarray.Dataset,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_xarray.html
Series.,to_excel,"(excel_writer, sheet_name='Sheet1', na_rep='', float_format=None, columns=None, header=True, index=True, index_label=None, startrow=0, startcol=0, engine=None, merge_cells=True, inf_rep='inf', freeze_panes=None, storage_options=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_excel.html
Week.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.Week.is_year_end.html
WeekOfMonth.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.name.html
Series.,to_hdf,"(path_or_buf, key, mode='a', complevel=None, complib=None, append=False, format=None, index=True, min_itemsize=None, nan_rep=None, dropna=None, data_columns=None, errors='strict', encoding='UTF-8')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_hdf.html
Series.,to_frame,(name=_NoDefault.no_default),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_frame.html
pandas.tseries.offsets.,WeekOfMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.html
WeekOfMonth.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.nanos.html
Series.,to_xarray,(),xarray.DataArray or xarray.Dataset,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_xarray.html
Series.,to_sql,"(name, con, schema=None, if_exists='fail', index=True, index_label=None, chunksize=None, dtype=None, method=None)",None or int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_sql.html
WeekOfMonth.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.freqstr.html
WeekOfMonth.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.normalize.html
Series.,to_hdf,"(path_or_buf, key, mode='a', complevel=None, complib=None, append=False, format=None, index=True, min_itemsize=None, nan_rep=None, dropna=None, data_columns=None, errors='strict', encoding='UTF-8')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_hdf.html
Series.,to_json,"(path_or_buf=None, orient=None, date_format=None, double_precision=10, force_ascii=True, date_unit='ms', default_handler=None, lines=False, compression='infer', index=True, indent=None, storage_options=None, mode='w')",None or str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_json.html
WeekOfMonth.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.kwds.html
WeekOfMonth.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.rule_code.html
Series.,to_sql,"(name, con, schema=None, if_exists='fail', index=True, index_label=None, chunksize=None, dtype=None, method=None)",None or int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_sql.html
WeekOfMonth.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.name.html
WeekOfMonth.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.n.html
Series.,to_string,"(buf=None, na_rep='NaN', float_format=None, header=True, index=True, length=False, dtype=False, name=False, max_rows=None, min_rows=None)",str or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_string.html
Series.,to_json,"(path_or_buf=None, orient=None, date_format=None, double_precision=10, force_ascii=True, date_unit='ms', default_handler=None, lines=False, compression='infer', index=True, indent=None, storage_options=None, mode='w')",None or str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_json.html
WeekOfMonth.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.nanos.html
WeekOfMonth.,week,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.week.html
Series.,to_clipboard,"(excel=True, sep=None, **kwargs)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_clipboard.html
Series.,to_string,"(buf=None, na_rep='NaN', float_format=None, header=True, index=True, length=False, dtype=False, name=False, max_rows=None, min_rows=None)",str or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_string.html
WeekOfMonth.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.normalize.html
Series.,to_latex,"(buf=None, columns=None, header=True, index=True, na_rep='NaN', formatters=None, float_format=None, sparsify=None, index_names=True, bold_rows=False, column_format=None, longtable=None, escape=None, encoding=None, decimal='.', multicolumn=None, multicolumn_format=None, multirow=None, caption=None, label=None, position=None)",str or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_latex.html
WeekOfMonth.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.copy.html
Series.,to_clipboard,"(excel=True, sep=None, **kwargs)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_clipboard.html
WeekOfMonth.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.rule_code.html
Series.,to_markdown,"(buf=None, mode='wt', index=True, storage_options=None, **kwargs)",str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_markdown.html
Series.,to_latex,"(buf=None, columns=None, header=True, index=True, na_rep='NaN', formatters=None, float_format=None, sparsify=None, index_names=True, bold_rows=False, column_format=None, longtable=None, escape=None, encoding=None, decimal='.', multicolumn=None, multicolumn_format=None, multirow=None, caption=None, label=None, position=None)",str or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_latex.html
WeekOfMonth.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_anchored.html
WeekOfMonth.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.n.html
Series.,to_markdown,"(buf=None, mode='wt', index=True, storage_options=None, **kwargs)",str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.to_markdown.html
WeekOfMonth.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_on_offset.html
WeekOfMonth.,week,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.week.html
WeekOfMonth.,weekday,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.weekday.html
WeekOfMonth.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.copy.html
WeekOfMonth.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_month_start.html
WeekOfMonth.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_anchored.html
WeekOfMonth.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_on_offset.html
WeekOfMonth.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_month_end.html
WeekOfMonth.,weekday,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.weekday.html
WeekOfMonth.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_quarter_start.html
WeekOfMonth.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_month_start.html
WeekOfMonth.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_quarter_end.html
WeekOfMonth.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_month_end.html
WeekOfMonth.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_year_start.html
WeekOfMonth.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_quarter_start.html
WeekOfMonth.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_year_end.html
WeekOfMonth.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_quarter_end.html
pandas.tseries.offsets.,LastWeekOfMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.html
WeekOfMonth.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_year_start.html
LastWeekOfMonth.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.freqstr.html
WeekOfMonth.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.WeekOfMonth.is_year_end.html
LastWeekOfMonth.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.kwds.html
pandas.tseries.offsets.,LastWeekOfMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.html
LastWeekOfMonth.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.name.html
LastWeekOfMonth.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.freqstr.html
LastWeekOfMonth.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.nanos.html
LastWeekOfMonth.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.kwds.html
LastWeekOfMonth.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.normalize.html
LastWeekOfMonth.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.rule_code.html
LastWeekOfMonth.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.name.html
LastWeekOfMonth.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.n.html
LastWeekOfMonth.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.nanos.html
LastWeekOfMonth.,weekday,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.weekday.html
LastWeekOfMonth.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.normalize.html
