方法名称1,方法名称2,方法参数,返回值类型,链接
numpy.,add,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.add.html
polynomial.hermite.,hermvander3d,"(x, y, z, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermvander3d.html
ma.,column_stack,,2-D array,https://numpy.org/devdocs/reference/generated/numpy.ma.column_stack.html
polynomial.hermite.,hermgauss,(deg),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermgauss.html
ma.,concatenate,"(arrays, axis=0)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.concatenate.html
polynomial.hermite.,hermweight,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermweight.html
numpy.,reciprocal,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.reciprocal.html
ma.,dstack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.dstack.html
polynomial.hermite.,hermcompanion,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermcompanion.html
numpy.,positive,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.positive.html
ma.,hstack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.hstack.html
polynomial.hermite.,hermfit,"(x, y, deg, rcond=None, full=False, w=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermfit.html
numpy.,negative,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.negative.html
ma.,hsplit,,None,https://numpy.org/devdocs/reference/generated/numpy.ma.hsplit.html
polynomial.hermite.,hermtrim,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermtrim.html
polynomial.hermite.,hermline,"(off, scl)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.hermline.html
numpy.,multiply,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.multiply.html
ma.,mr_,,None,https://numpy.org/devdocs/reference/generated/numpy.ma.mr_.html
polynomial.hermite.,herm2poly,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.herm2poly.html
polynomial.hermite.,poly2herm,(pol),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite.poly2herm.html
ma.,row_stack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.row_stack.html
numpy.,divide,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.divide.html
numpy.polynomial.hermite_e.,HermiteE,"(coef, domain=None, window=None, symbol='x')",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.HermiteE.html
numpy.,power,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.power.html
polynomial.hermite_e.,hermedomain,"([-1,  1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermedomain.html
ma.,vstack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.vstack.html
polynomial.hermite_e.,hermezero,([0]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermezero.html
numpy.,subtract,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.subtract.html
ma.,concatenate,"(arrays, axis=0)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.concatenate.html
polynomial.hermite_e.,hermeone,([1]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeone.html
numpy.,true_divide,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.true_divide.html
ma.,stack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.stack.html
polynomial.hermite_e.,hermex,"([0, 1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermex.html
ma.,vstack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.vstack.html
numpy.,floor_divide,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.floor_divide.html
polynomial.hermite_e.,hermeadd,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeadd.html
ma.,hstack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.hstack.html
ma.,dstack,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.dstack.html
polynomial.hermite_e.,hermesub,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermesub.html
numpy.,float_power,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.float_power.html
ma.,column_stack,,2-D array,https://numpy.org/devdocs/reference/generated/numpy.ma.column_stack.html
polynomial.hermite_e.,hermemulx,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermemulx.html
polynomial.hermite_e.,hermemul,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermemul.html
numpy.,fmod,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",array_like,https://numpy.org/devdocs/reference/generated/numpy.fmod.html
ma.,append,"(a, b, axis=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.append.html
numpy.,mod,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.mod.html
polynomial.hermite_e.,hermediv,"(c1, c2)",ndarrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermediv.html
ma.,make_mask,"(m, copy=False, shrink=True, dtype=<class 'numpy.bool_'>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.make_mask.html
numpy.,modf,"(x, [out1, out2, ]/, [out=(None, None), ]*, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.modf.html
ma.,make_mask_none,"(newshape, dtype=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.make_mask_none.html
polynomial.hermite_e.,hermepow,"(c, pow, maxpower=16)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermepow.html
polynomial.hermite_e.,hermeval,"(x, c, tensor=True)","ndarray, algebra_like",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeval.html
numpy.,remainder,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.remainder.html
ma.,mask_or,"(m1, m2, copy=False, shrink=True)",output mask,https://numpy.org/devdocs/reference/generated/numpy.ma.mask_or.html
polynomial.hermite_e.,hermeval2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeval2d.html
ma.,make_mask_descr,(ndtype),dtype,https://numpy.org/devdocs/reference/generated/numpy.ma.make_mask_descr.html
polynomial.hermite_e.,hermeval3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeval3d.html
ma.,getmask,(a),None,https://numpy.org/devdocs/reference/generated/numpy.ma.getmask.html
polynomial.hermite_e.,hermegrid2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermegrid2d.html
numpy.,divmod,"(x1, x2, [out1, out2, ]/, [out=(None, None), ]*, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.divmod.html
ma.,getmaskarray,(arr),None,https://numpy.org/devdocs/reference/generated/numpy.ma.getmaskarray.html
polynomial.hermite_e.,hermegrid3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermegrid3d.html
numpy.,angle,"(z, deg=False)",None,https://numpy.org/devdocs/reference/generated/numpy.angle.html
polynomial.hermite_e.,hermeder,"(c, m=1, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeder.html
ma.masked_array.,mask,,None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_array.mask.html
polynomial.hermite_e.,hermeint,"(c, m=1, k=[], lbnd=0, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeint.html
numpy.,real,(val),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.real.html
polynomial.hermite_e.,hermefromroots,(roots),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermefromroots.html
ma.,ndenumerate,"(a, compressed=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.ndenumerate.html
polynomial.hermite_e.,hermeroots,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeroots.html
numpy.,imag,(val),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.imag.html
ma.,flatnotmasked_contiguous,(a),None,https://numpy.org/devdocs/reference/generated/numpy.ma.flatnotmasked_contiguous.html
polynomial.hermite_e.,hermevander,"(x, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermevander.html
numpy.,conj,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.conj.html
polynomial.hermite_e.,hermevander2d,"(x, y, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermevander2d.html
ma.,flatnotmasked_edges,(a),ndarray or None,https://numpy.org/devdocs/reference/generated/numpy.ma.flatnotmasked_edges.html
polynomial.hermite_e.,hermevander3d,"(x, y, z, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermevander3d.html
numpy.,conjugate,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.conjugate.html
ma.,notmasked_contiguous,"(a, axis=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.notmasked_contiguous.html
polynomial.hermite_e.,hermegauss,(deg),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermegauss.html
numpy.,maximum,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.maximum.html
polynomial.hermite_e.,hermeweight,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeweight.html
ma.,notmasked_edges,"(a, axis=None)",ndarray or list,https://numpy.org/devdocs/reference/generated/numpy.ma.notmasked_edges.html
polynomial.hermite_e.,hermecompanion,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermecompanion.html
numpy.,max,"(a, axis=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.max.html
ma.,clump_masked,(a),list of slice,https://numpy.org/devdocs/reference/generated/numpy.ma.clump_masked.html
numpy.,amax,"(a, axis=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.amax.html
ma.,clump_unmasked,(a),list of slice,https://numpy.org/devdocs/reference/generated/numpy.ma.clump_unmasked.html
polynomial.hermite_e.,hermefit,"(x, y, deg, rcond=None, full=False, w=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermefit.html
numpy.,fmax,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.fmax.html
polynomial.hermite_e.,hermetrim,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermetrim.html
ma.,mask_cols,"(a, axis=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.mask_cols.html
polynomial.hermite_e.,hermeline,"(off, scl)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.hermeline.html
numpy.,nanmax,"(a, axis=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanmax.html
ma.,mask_or,"(m1, m2, copy=False, shrink=True)",output mask,https://numpy.org/devdocs/reference/generated/numpy.ma.mask_or.html
numpy.,minimum,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.minimum.html
polynomial.hermite_e.,herme2poly,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.herme2poly.html
ma.,mask_rowcols,"(a, axis=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.mask_rowcols.html
numpy.,min,"(a, axis=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.min.html
polynomial.hermite_e.,poly2herme,(pol),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.hermite_e.poly2herme.html
ma.,mask_rows,"(a, axis=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.mask_rows.html
numpy.polynomial.laguerre.,Laguerre,"(coef, domain=None, window=None, symbol='x')",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.Laguerre.html
ma.,harden_mask,(self),None,https://numpy.org/devdocs/reference/generated/numpy.ma.harden_mask.html
polynomial.laguerre.,lagdomain,"([0, 1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagdomain.html
numpy.,amin,"(a, axis=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.amin.html
polynomial.laguerre.,lagzero,([0]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagzero.html
ma.,soften_mask,(self),None,https://numpy.org/devdocs/reference/generated/numpy.ma.soften_mask.html
numpy.,fmin,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.fmin.html
polynomial.laguerre.,lagone,([1]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagone.html
ma.MaskedArray.,harden_mask,(),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.harden_mask.html
polynomial.laguerre.,lagx,"([ 1, -1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagx.html
polynomial.laguerre.,lagadd,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagadd.html
ma.MaskedArray.,soften_mask,(),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.soften_mask.html
polynomial.laguerre.,lagsub,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagsub.html
numpy.,nanmin,"(a, axis=None, out=None, keepdims=<no value>, initial=<no value>, where=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanmin.html
polynomial.laguerre.,lagmulx,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagmulx.html
ma.MaskedArray.,shrink_mask,(),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.shrink_mask.html
numpy.,convolve,"(a, v, mode='full')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.convolve.html
polynomial.laguerre.,lagmul,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagmul.html
numpy.,clip,"(a, a_min, a_max, out=None, **kwargs)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.clip.html
polynomial.laguerre.,lagdiv,"(c1, c2)",ndarrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagdiv.html
ma.MaskedArray.,unshare_mask,(),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.unshare_mask.html
polynomial.laguerre.,lagpow,"(c, pow, maxpower=16)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagpow.html
numpy.,sqrt,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.sqrt.html
polynomial.laguerre.,lagval,"(x, c, tensor=True)","ndarray, algebra_like",https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagval.html
ma.,asarray,"(a, dtype=None, order=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.asarray.html
numpy.,cbrt,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.cbrt.html
polynomial.laguerre.,lagval2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagval2d.html
ma.,asanyarray,"(a, dtype=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.asanyarray.html
numpy.,square,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.square.html
numpy.,absolute,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.absolute.html
ma.,fix_invalid,"(a, mask=False, copy=True, fill_value=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.fix_invalid.html
polynomial.laguerre.,lagval3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagval3d.html
numpy.,fabs,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.fabs.html
polynomial.laguerre.,laggrid2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.laggrid2d.html
ma.,masked_equal,"(x, value, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_equal.html
polynomial.laguerre.,laggrid3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.laggrid3d.html
numpy.,sign,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.sign.html
ma.,masked_greater,"(x, value, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_greater.html
polynomial.laguerre.,lagder,"(c, m=1, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagder.html
numpy.,heaviside,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.heaviside.html
polynomial.laguerre.,lagint,"(c, m=1, k=[], lbnd=0, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagint.html
numpy.,nan_to_num,"(x, copy=True, nan=0.0, posinf=None, neginf=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nan_to_num.html
polynomial.laguerre.,lagfromroots,(roots),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagfromroots.html
ma.,masked_greater_equal,"(x, value, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_greater_equal.html
polynomial.laguerre.,lagroots,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagroots.html
numpy.,real_if_close,"(a, tol=100)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.real_if_close.html
polynomial.laguerre.,lagvander,"(x, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagvander.html
ma.,masked_inside,"(x, v1, v2, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_inside.html
numpy.,interp,"(x, xp, fp, left=None, right=None, period=None)",float or complex (corresponding to fp) or ndarray,https://numpy.org/devdocs/reference/generated/numpy.interp.html
polynomial.laguerre.,lagvander2d,"(x, y, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagvander2d.html
ma.,masked_invalid,"(a, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_invalid.html
polynomial.laguerre.,lagvander3d,"(x, y, z, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagvander3d.html
polynomial.laguerre.,laggauss,(deg),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.laggauss.html
ma.,masked_less,"(x, value, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_less.html
polynomial.laguerre.,lagweight,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagweight.html
polynomial.laguerre.,lagcompanion,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagcompanion.html
ma.,masked_less_equal,"(x, value, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_less_equal.html
polynomial.laguerre.,lagfit,"(x, y, deg, rcond=None, full=False, w=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagfit.html
polynomial.laguerre.,lagtrim,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagtrim.html
polynomial.laguerre.,lagline,"(off, scl)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lagline.html
polynomial.laguerre.,lag2poly,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.lag2poly.html
ma.,masked_not_equal,"(x, value, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_not_equal.html
polynomial.laguerre.,poly2lag,(pol),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.laguerre.poly2lag.html
ma.,masked_object,"(x, value, copy=True, shrink=True)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_object.html
numpy.polynomial.legendre.,Legendre,"(coef, domain=None, window=None, symbol='x')",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.Legendre.html
ma.,masked_outside,"(x, v1, v2, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_outside.html
polynomial.legendre.,legdomain,"([-1,  1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legdomain.html
polynomial.legendre.,legzero,([0]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legzero.html
polynomial.legendre.,legone,([1]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legone.html
polynomial.legendre.,legx,"([0, 1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legx.html
ma.,masked_values,"(x, value, rtol=1e-05, atol=1e-08, copy=True, shrink=True)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_values.html
polynomial.legendre.,legadd,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legadd.html
polynomial.legendre.,legsub,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legsub.html
ma.,masked_where,"(condition, a, copy=True)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_where.html
polynomial.legendre.,legmulx,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legmulx.html
polynomial.legendre.,legmul,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legmul.html
ma.,compress_cols,(a),None,https://numpy.org/devdocs/reference/generated/numpy.ma.compress_cols.html
polynomial.legendre.,legdiv,"(c1, c2)",ndarrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legdiv.html
polynomial.legendre.,legpow,"(c, pow, maxpower=16)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legpow.html
ma.,compress_rowcols,"(x, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.compress_rowcols.html
polynomial.legendre.,legval,"(x, c, tensor=True)","ndarray, algebra_like",https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legval.html
polynomial.legendre.,legval2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legval2d.html
polynomial.legendre.,legval3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legval3d.html
ma.,compress_rows,(a),None,https://numpy.org/devdocs/reference/generated/numpy.ma.compress_rows.html
polynomial.legendre.,leggrid2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.leggrid2d.html
polynomial.legendre.,leggrid3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.leggrid3d.html
polynomial.legendre.,legder,"(c, m=1, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legder.html
ma.,compressed,(x),None,https://numpy.org/devdocs/reference/generated/numpy.ma.compressed.html
polynomial.legendre.,legint,"(c, m=1, k=[], lbnd=0, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legint.html
polynomial.legendre.,legfromroots,(roots),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legfromroots.html
polynomial.legendre.,legroots,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legroots.html
polynomial.legendre.,legvander,"(x, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legvander.html
polynomial.legendre.,legvander2d,"(x, y, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legvander2d.html
polynomial.legendre.,legvander3d,"(x, y, z, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legvander3d.html
ma.,filled,"(a, fill_value=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.filled.html
polynomial.legendre.,leggauss,(deg),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.leggauss.html
polynomial.legendre.,legweight,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legweight.html
polynomial.legendre.,legcompanion,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legcompanion.html
